country,freedomhouse_score,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
Panama,83.0,110.47,36.52,54.79,59.71,54.30,12.55,36.48,62.71,67.84
Palestinian Territory,,,51.59,56.41,59.44,54.07,4.49,47.33,63.94,
Pakistan,43.0,106.29,33.72,55.80,60.26,22.13,12.03,38.49,74.53,71.93
Oman,23.0,165.10,79.65,78.90,58.29,49.81,9.99,23.25,38.01,67.22
Norway,100.0,179.07,94.41,66.05,74.87,98.98,8.47,27.01,20.38,71.37
Northern Mariana Islands,,,,72.43,27.78,,,,33.62,
Nigeria,50.0,57.66,14.76,36.08,52.40,31.39,16.47,58.68,87.83,60.75
Nicaragua,44.0,,25.07,56.13,68.55,46.27,10.43,52.00,62.60,
New Zealand,,182.91,96.92,58.72,73.40,71.35,8.20,30.84,23.47,95.46
New Caledonia,,,,33.24,54.17,,8.43,0.00,59.31,
Netherlands,99.0,185.56,95.34,71.77,75.68,74.69,7.40,29.86,27.18,87.56
Nepal,55.0,90.69,23.49,64.63,56.60,29.22,25.86,37.85,85.26,92.64
Namibia,77.0,,59.99,32.99,61.74,41.83,5.01,28.46,47.42,
Myanmar,31.0,,11.29,51.78,49.98,42.91,18.56,53.33,93.08,
Mozambique,52.0,,19.02,40.45,40.12,44.17,19.28,27.00,73.63,
Morocco,39.0,105.66,38.60,50.20,46.28,34.79,14.27,36.93,68.82,86.09
Montenegro,67.0,138.31,42.93,58.60,41.77,39.01,13.22,13.71,45.52,88.40
Mongolia,85.0,56.60,30.68,42.08,50.73,35.54,13.51,33.50,93.01,-3.54
Monaco,82.0,,58.44,80.51,79.63,103.28,63.84,18.33,86.32,
Moldova,61.0,111.85,28.42,54.95,52.73,33.29,13.30,26.36,65.87,76.91
Mexico,62.0,120.47,44.13,47.15,69.46,34.86,10.66,39.34,66.45,88.72
Mauritius,89.0,,31.71,51.92,61.78,53.36,8.19,55.40,55.88,
Mauritania,30.0,,,51.47,42.13,,,,69.40,
Malta,92.0,127.18,49.28,60.43,70.81,67.95,11.79,27.97,76.48,97.44
Mali,44.0,,,62.34,27.78,,,,93.10,
Maldives,35.0,,,45.57,40.91,,31.33,35.00,81.74,
Malaysia,45.0,118.06,66.39,40.22,68.27,38.56,9.93,37.16,63.59,56.55
Malawi,63.0,,,47.79,29.17,,,20.34,64.83,
Madagascar,56.0,,,37.23,37.30,,,23.50,88.87,
Macedonia,58.0,110.89,39.39,61.62,56.23,32.11,12.95,27.61,80.46,76.30
Macao,,,95.03,75.78,45.56,60.11,28.33,14.14,67.75,
Luxembourg,98.0,,106.55,66.96,72.24,82.52,11.70,33.33,24.89,
Lithuania,91.0,159.07,58.75,66.51,68.98,45.38,10.74,25.95,29.42,67.76
Liechtenstein,90.0,,116.80,97.55,,103.55,4.51,0.00,8.62,
Libya,9.0,,49.06,38.19,54.29,66.30,7.51,22.20,50.09,
Liberia,62.0,,,18.09,37.04,85.61,,30.00,92.88,
Lesotho,64.0,,25.42,34.88,55.56,37.06,310.17,80.00,56.32,
Lebanon,43.0,108.19,47.83,57.09,64.08,60.63,13.40,36.53,88.46,94.74
Latvia,87.0,152.11,56.25,63.69,63.48,48.73,8.65,32.74,33.96,74.70
Laos,12.0,,17.13,66.10,34.26,56.32,34.70,30.00,79.31,
Kyrgyzstan,37.0,92.41,25.70,40.51,54.58,27.93,15.59,33.25,66.48,58.11
Kuwait,36.0,,94.08,65.37,55.72,50.89,13.91,34.44,69.00,
Kosovo (Disputed Territory),,132.67,50.35,67.48,65.45,28.10,11.35,24.57,69.85,76.84
Kenya,48.0,62.26,28.55,37.04,54.07,40.05,40.22,55.93,75.57,99.79
Kazakhstan,22.0,86.05,38.16,36.03,49.45,29.78,11.29,31.47,75.39,39.78
Jordan,37.0,111.14,35.96,57.56,64.29,55.12,8.55,42.51,78.16,89.05
Jersey,,,,71.57,57.78,,9.14,25.00,40.47,
Japan,96.0,174.32,92.88,83.31,81.15,84.97,12.89,38.77,36.67,84.79
Jamaica,77.0,,33.31,34.57,51.44,55.52,12.30,51.22,69.33,
Ivory Coast,,,9.83,46.88,34.26,55.04,31.14,42.50,94.41,
Italy,89.0,141.76,69.27,55.04,66.62,67.97,9.81,34.85,55.16,92.05
Israel,79.0,151.18,82.61,68.56,73.37,80.43,12.94,35.95,56.70,93.78
Isle Of Man,,,119.21,77.86,75.56,77.49,7.58,5.00,20.40,
Ireland,96.0,157.90,88.00,53.40,56.07,76.48,7.26,37.46,33.48,88.59
Iraq,31.0,92.77,45.18,53.45,40.83,39.61,8.87,36.25,79.59,46.98
Iran,18.0,76.21,25.97,51.05,51.80,39.34,24.67,47.94,77.26,70.99
Indonesia,64.0,99.89,30.82,53.46,60.94,36.51,15.08,43.35,66.59,63.76
India,77.0,111.84,58.00,57.19,67.94,24.82,11.44,46.78,77.61,65.77
Iceland,95.0,183.60,85.33,75.87,65.68,99.38,6.74,20.26,16.30,68.81
Hungary,72.0,131.64,51.90,64.76,47.38,41.33,13.07,35.63,47.90,79.48
Hong Kong,,98.10,64.94,80.88,66.62,78.65,49.75,40.45,67.50,83.64
Honduras,46.0,,33.21,23.72,38.72,42.96,10.36,19.30,79.69,
Haiti,41.0,,,34.89,46.30,,16.15,90.00,83.10,
Guyana,74.0,,31.83,34.60,35.05,40.69,37.38,52.00,63.47,
Guinea-Bissau,41.0,,,7.35,,,,0.00,,
Guernsey,,,82.08,82.89,54.17,122.64,6.25,10.00,27.59,
Guatemala,56.0,110.14,42.18,43.38,67.63,43.63,10.08,49.56,74.33,99.89
Guam,,,99.76,27.43,36.19,88.20,,45.00,34.48,
Grenada,88.0,,,69.33,47.22,,,,49.90,
Greenland,,,,65.78,75.00,,8.28,18.00,75.17,
Greece,85.0,134.45,46.34,59.78,56.15,56.65,10.23,33.71,52.61,94.18
Gibraltar,,,103.08,84.60,57.41,63.87,9.84,23.33,70.69,
Ghana,83.0,,24.01,48.73,59.47,43.41,26.20,37.40,88.94,
Germany,94.0,181.71,107.79,64.76,73.13,66.55,9.46,30.48,28.84,82.62
Georgia,64.0,117.79,27.87,79.73,50.83,27.47,13.73,36.55,70.31,84.20
Gambia,41.0,,,52.39,,,375.00,65.00,55.17,
Gabon,23.0,,23.43,55.15,31.25,61.49,75.28,16.35,69.14,
French Polynesia,,,47.96,44.93,96.30,91.92,40.41,30.00,47.56,
France,90.0,155.80,85.03,53.26,79.98,74.58,13.31,34.69,43.21,90.25
Finland,100.0,192.82,105.88,77.54,76.06,71.19,8.11,30.31,11.80,58.56
